Date,Product,Market,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Type
2024-07-20,Lace Material,Oke Baale,13,12000,156000,Transfer,Sokoto
2024-07-20,Ankara,Alekuwodo,3,5000,15000,USSD,Sokoto
2024-08-12,Lace Material,Orisumbare,8,12000,96000,Transfer,Osogbo
2024-06-11,Lace Material,Oke Baale,14,12000,168000,USSD,Sokoto
2024-02-21,Adire Fabric,Oja Oba,12,8000,96000,Transfer,Lagos
2024-02-25,Aso Oke,Alekuwodo,15,15000,225000,Cash,Osogbo
2024-07-12,Aso Oke,Oja Oba,12,15000,180000,POS,Lagos
2024-07-27,Adire Gown,Oke Baale,9,25000,225000,Transfer,Ibadan
2024-01-11,Ankara,Oke Baale,10,5000,50000,USSD,Lagos
2024-04-17,Lace Material,Alekuwodo,7,12000,84000,POS,Osogbo
2024-02-17,Adire Fabric,Oke Baale,4,8000,32000,Cash,Osogbo
2024-06-27,Ankara,Orisumbare,4,5000,20000,USSD,Osogbo
2024-04-23,Ankara,Alekuwodo,14,5000,70000,USSD,Lagos
2024-06-17,Lace Material,Oja Oba,9,12000,108000,USSD,Sokoto
2024-05-22,Ankara,Oja Oba,15,5000,75000,Transfer,Lagos
2024-01-16,Adire Gown,Oja Oba,1,25000,25000,USSD,Sokoto
2024-08-20,Lace Material,Alekuwodo,8,12000,96000,Transfer,Ibadan
2024-01-14,Aso Oke,Orisumbare,3,15000,45000,POS,Osogbo
2024-07-18,Adire Fabric,Oke Baale,12,8000,96000,USSD,Osogbo
2024-07-14,Adire Fabric,Alekuwodo,7,8000,56000,USSD,Ibadan
2024-01-12,Aso Oke,Oja Oba,3,15000,45000,POS,Osogbo
2024-05-23,Aso Oke,Alekuwodo,1,15000,15000,POS,Sokoto
2024-04-22,Ankara,Alekuwodo,10,5000,50000,POS,Ibadan
2024-05-13,Adire Fabric,Orisumbare,4,8000,32000,Transfer,Lagos
2024-03-13,Adire Gown,Oja Oba,15,25000,375000,USSD,Lagos
2024-06-11,Aso Oke,Orisumbare,3,15000,45000,Transfer,Osogbo
2024-06-21,Adire Fabric,Oke Baale,5,8000,40000,USSD,Osogbo
2024-07-16,Aso Oke,Orisumbare,10,15000,150000,Transfer,Sokoto
2024-06-22,Adire Fabric,Oja Oba,11,8000,88000,POS,Lagos
